"Date","Price","Open","High","Low","Vol.","Change %"
"2023-04-11","13,312.67","13,312.67","13,312.67","13,312.67","","0.10%"
"2023-04-10","13,299.74","13,299.74","13,299.74","13,299.74","","0.21%"
"2023-04-06","13,271.33","13,271.33","13,271.33","13,271.33","","0.34%"
"2023-04-05","13,225.71","13,225.71","13,225.71","13,225.71","","-0.36%"
"2023-04-04","13,273.52","13,273.52","13,273.52","13,273.52","","-0.69%"
"2023-04-03","13,365.76","13,365.76","13,365.76","13,365.76","","0.28%"
"2023-03-31","13,327.87","13,327.87","13,327.87","13,327.87","","1.54%"
"2023-03-30","13,126.01","13,126.01","13,126.01","13,126.01","","0.54%"
"2023-03-29","13,055.50","13,055.50","13,055.50","13,055.50","","1.42%"
"2023-03-28","12,872.27","12,872.27","12,872.27","12,872.27","","-0.13%"
"2023-03-27","12,889.03","12,889.03","12,889.03","12,889.03","","0.27%"
"2023-03-24","12,853.87","12,853.87","12,853.87","12,853.87","","0.55%"
"2023-03-23","12,783.34","12,783.34","12,783.34","12,783.34","","0.22%"
"2023-03-22","12,755.67","12,755.97","12,755.97","12,755.97","","-1.78%"
"2023-03-21","12,987.18","12,987.49","12,987.49","12,987.49","","1.43%"
"2023-03-20","12,804.43","12,804.43","12,804.43","12,804.43","","0.90%"
"2023-03-17","12,690.56","12,690.56","12,690.56","12,690.56","","-1.26%"
"2023-03-16","12,852.34","12,852.34","12,852.34","12,852.34","","1.75%"
"2023-03-15","12,631.21","12,631.21","12,631.21","12,631.21","","-0.82%"
"2023-03-14","12,735.76","12,735.76","12,735.76","12,735.76","","1.70%"
"2023-03-13","12,522.88","12,522.88","12,522.88","12,522.88","","-0.32%"
"2023-03-10","12,562.49","12,562.49","12,562.49","12,562.49","","-1.69%"
"2023-03-09","12,779.07","12,779.07","12,779.07","12,779.07","","-1.99%"
"2023-03-08","13,037.95","13,037.95","13,037.95","13,037.95","","0.13%"
"2023-03-07","13,021.02","13,021.02","13,021.02","13,021.02","","-1.47%"
"2023-03-06","13,215.18","13,215.18","13,215.18","13,215.18","","-0.13%"
"2023-03-03","13,232.70","13,232.70","13,232.70","13,232.70","","1.61%"
"2023-03-02","13,023.17","13,023.17","13,023.17","13,023.17","","0.73%"
"2023-03-01","12,929.02","12,929.02","12,929.02","12,929.02","","-0.40%"
"2023-02-28","12,980.78","12,980.78","12,980.78","12,980.78","","-0.25%"
"2023-02-27","13,013.13","13,013.13","13,013.13","13,013.13","","0.31%"
"2023-02-24","12,972.99","12,972.99","12,972.99","12,972.99","","-1.05%"
"2023-02-23","13,110.23","13,110.23","13,110.23","13,110.23","","0.52%"
"2023-02-22","13,042.54","13,042.54","13,042.54","13,042.54","","-0.06%"
"2023-02-21","13,050.34","13,050.34","13,050.34","13,050.34","","-2.11%"
"2023-02-17","13,332.01","13,332.01","13,332.01","13,332.01","","-0.29%"
"2023-02-16","13,370.46","13,370.46","13,370.46","13,370.46","","-1.34%"
"2023-02-15","13,551.72","13,551.72","13,551.72","13,551.72","","0.48%"
"2023-02-14","13,486.33","13,486.33","13,486.33","13,486.33","","0.06%"
"2023-02-13","13,478.65","13,478.65","13,478.65","13,478.65","","1.16%"
"2023-02-10","13,323.63","13,323.63","13,323.63","13,323.63","","0.18%"
"2023-02-09","13,300.18","13,300.18","13,300.18","13,300.18","","-0.95%"
"2023-02-08","13,427.71","13,427.71","13,427.71","13,427.71","","-1.13%"
"2023-02-07","13,580.54","13,580.54","13,580.54","13,580.54","","1.25%"
"2023-02-06","13,413.27","13,413.27","13,413.27","13,413.27","","-0.71%"
"2023-02-03","13,509.20","13,509.20","13,509.20","13,509.20","","-1.07%"
"2023-02-02","13,655.42","13,655.42","13,655.42","13,655.42","","1.57%"
"2023-02-01","13,444.67","13,444.67","13,444.67","13,444.67","","1.15%"
"2023-01-31","13,291.43","13,291.43","13,291.43","13,291.43","","1.60%"
"2023-01-30","13,081.65","13,081.65","13,081.65","13,081.65","","-1.33%"
"2023-01-27","13,257.71","13,257.71","13,257.71","13,257.71","","0.33%"
"2023-01-26","13,214.34","13,214.34","13,214.34","13,214.34","","1.09%"
"2023-01-25","13,071.80","13,071.80","13,071.80","13,071.80","","0.01%"
"2023-01-24","13,070.23","13,070.23","13,070.23","13,070.23","","-0.13%"
"2023-01-23","13,087.72","13,087.72","13,087.72","13,087.72","","1.24%"
"2023-01-20","12,927.34","12,927.34","12,927.34","12,927.34","","1.93%"
"2023-01-19","12,682.47","12,682.47","12,682.47","12,682.47","","-0.81%"
"2023-01-18","12,786.00","12,786.00","12,786.00","12,786.00","","-1.54%"
"2023-01-17","12,985.92","12,985.92","12,985.92","12,985.92","","-0.16%"
"2023-01-13","13,006.29","13,006.29","13,006.29","13,006.29","","0.43%"
"2023-01-12","12,950.41","12,950.41","12,950.41","12,950.41","","0.49%"
"2023-01-11","12,887.10","12,887.10","12,887.10","12,887.10","","1.33%"
"2023-01-10","12,718.37","12,718.37","12,718.37","12,718.37","","0.78%"
"2023-01-09","12,620.33","12,620.33","12,620.33","12,620.33","","0.02%"
"2023-01-06","12,618.41","12,618.41","12,618.41","12,618.41","","2.25%"
"2023-01-05","12,340.86","12,340.86","12,340.86","12,340.86","","-1.18%"
"2023-01-04","12,487.65","12,487.65","12,487.65","12,487.65","","0.86%"
"2023-01-03","12,381.75","12,381.75","12,381.75","12,381.75","","-0.43%"
"2022-12-30","12,435.00","12,435.00","12,435.00","12,435.00","","-0.25%"
"2022-12-29","12,465.55","12,465.55","12,465.55","12,465.55","","1.87%"
"2022-12-28","12,236.99","12,236.99","12,236.99","12,236.99","","-1.24%"
"2022-12-27","12,390.46","12,390.46","12,390.46","12,390.46","","-0.42%"
"2022-12-23","12,443.03","12,443.03","12,443.03","12,443.03","","0.56%"
"2022-12-22","12,373.66","12,373.66","12,373.66","12,373.66","","-1.44%"
"2022-12-21","12,554.44","12,554.44","12,554.44","12,554.44","","1.52%"
"2022-12-20","12,366.41","12,366.41","12,366.41","12,366.41","","0.17%"
"2022-12-19","12,344.86","12,344.86","12,344.86","12,344.86","","-1.00%"
"2022-12-16","12,469.20","12,469.20","12,469.20","12,469.20","","-1.08%"
"2022-12-15","12,605.14","12,605.14","12,605.14","12,605.14","","-2.51%"
"2022-12-14","12,930.14","12,930.14","12,930.14","12,930.14","","-0.56%"
"2022-12-13","13,003.31","13,003.31","13,003.31","13,003.31","","0.75%"
"2022-12-12","12,906.16","12,906.16","12,906.16","12,906.16","","1.44%"
"2022-12-09","12,722.79","12,722.79","12,722.79","12,722.79","","-0.77%"
"2022-12-08","12,821.85","12,821.85","12,821.85","12,821.85","","0.79%"
"2022-12-07","12,721.32","12,721.32","12,721.32","12,721.32","","-0.20%"
"2022-12-06","12,746.57","12,746.57","12,746.57","12,746.57","","-1.46%"
"2022-12-05","12,935.67","12,935.67","12,935.67","12,935.67","","-1.96%"
"2022-12-02","13,194.85","13,194.85","13,194.85","13,194.85","","-0.07%"
"2022-12-01","13,203.99","13,203.99","13,203.99","13,203.99","","-0.03%"
"2022-11-30","13,208.40","13,208.40","13,208.40","13,208.40","","3.11%"
"2022-11-29","12,809.83","12,809.83","12,809.83","12,809.83","","-0.10%"
"2022-11-28","12,822.43","12,822.43","12,822.43","12,822.43","","-1.60%"
"2022-11-25","13,030.69","13,030.69","13,030.69","13,030.69","","0.02%"
"2022-11-23","13,028.04","13,028.04","13,028.04","13,028.04","","0.59%"
"2022-11-22","12,951.64","12,951.64","12,951.64","12,951.64","","1.35%"
"2022-11-21","12,778.99","12,778.99","12,778.99","12,778.99","","-0.43%"
"2022-11-18","12,834.37","12,834.37","12,834.37","12,834.37","","0.47%"
"2022-11-17","12,774.87","12,774.87","12,774.87","12,774.87","","-0.40%"
"2022-11-16","12,826.55","12,826.55","12,826.55","12,826.55","","-1.00%"
"2022-11-15","12,955.90","12,955.90","12,955.90","12,955.90","","1.01%"
"2022-11-14","12,825.95","12,825.95","12,825.95","12,825.95","","-0.96%"
"2022-11-11","12,949.98","12,949.98","12,949.98","12,949.98","","1.00%"
"2022-11-10","12,821.24","12,821.24","12,821.24","12,821.24","","5.74%"
"2022-11-09","12,124.73","12,124.73","12,124.73","12,124.73","","-2.15%"
"2022-11-08","12,391.06","12,391.06","12,391.06","12,391.06","","0.52%"
"2022-11-07","12,326.94","12,326.94","12,326.94","12,326.94","","0.91%"
"2022-11-04","12,216.17","12,216.17","12,216.17","12,216.17","","1.25%"
"2022-11-03","12,065.48","12,065.48","12,065.48","12,065.48","","-0.98%"
"2022-11-02","12,185.32","12,185.32","12,185.32","12,185.32","","-2.63%"
"2022-11-01","12,514.48","12,514.48","12,514.48","12,514.48","","-0.31%"
"2022-10-31","12,553.17","12,553.17","12,553.17","12,553.17","","-0.67%"
"2022-10-28","12,637.33","12,637.33","12,637.33","12,637.33","","2.37%"
"2022-10-27","12,344.66","12,344.66","12,344.66","12,344.66","","-0.50%"
"2022-10-26","12,407.18","12,407.18","12,407.18","12,407.18","","-0.64%"
"2022-10-25","12,486.88","12,486.88","12,486.88","12,486.88","","1.83%"
"2022-10-24","12,262.75","12,262.75","12,262.75","12,262.75","","1.05%"
"2022-10-21","12,134.88","12,134.88","12,134.88","12,134.88","","2.30%"
"2022-10-20","11,861.53","11,861.53","11,861.53","11,861.53","","-0.80%"
"2022-10-19","11,956.83","11,956.83","11,956.83","11,956.83","","-0.87%"
"2022-10-18","12,061.37","12,061.37","12,061.37","12,061.37","","1.19%"
"2022-10-17","11,919.53","11,919.53","11,919.53","11,919.53","","2.75%"
"2022-10-14","11,600.56","11,600.56","11,600.56","11,600.56","","-2.42%"
"2022-10-13","11,888.01","11,888.01","11,888.01","11,888.01","","2.48%"
